RA,Ano,Fase,fase_num,Fase_Ideal,Defasagem,INDE_ano,IAA,IEG,IPS,IPP,IDA,IPV,IAN,Mat,Por,Ing,Idade,ano_nasc_obs,Gênero,Ano ingresso,Pedra_ano,Instituicao,Pedra20,Pedra21,Pedra22_hist,Pedra23_hist,INDE22_hist,INDE23_hist,Atingiu_PV,Rec_Psicologia,ano_nasc,idade_padronizada,Fase_Ideal_base,Defasagem_base,fase_ideal_num,IDA_original,IPP_origem,_ipp_reconstruido_invalido,_recuperado_algebrico,excluir_tudo,n_feat_modelo,motivo_exclusao_modelo,excluir_modelo
RA-41,2022,5,5,7,-2,5.581,9.2,6.1,5.0,4.46,5.6,4.375,5.0,6.3,2.5,8.0,17.0,2005,Menino,2018,Quartzo,Escola Pública,Ágata,Ágata,Quartzo,,,,Não,Requer avaliação,2005,17,Fase 7 (3º EM),-2,7,5.6,reconstruido_2022,False,,False,5,,False
RA-42,2022,5,5,5,0,6.72,8.3,7.9,5.6,5.734,4.8,6.083,10.0,3.7,4.5,6.2,15.0,2007,Menino,2019,Ágata,Rede Decisão,Topázio,Ametista,Ágata,,,,Não,Requer avaliação,2007,15,Fase 5 (1º EM),0,5,4.8,reconstruido_2022,False,,False,5,,False
RA-43,2022,5,5,6,-1,5.486,6.3,6.5,5.6,4.444,4.3,5.958,5.0,4.0,5.8,3.2,16.0,2006,Menina,2019,Quartzo,Escola Pública,Ametista,Ágata,Quartzo,,,,Não,Requer avaliação,2006,16,Fase 6 (2º EM),-1,6,4.3,reconstruido_2022,False,,False,5,,False
RA-44,2022,5,5,7,-2,5.542,5.0,5.9,7.5,5.536,3.0,7.292,5.0,2.3,3.5,3.2,17.0,2005,Menina,2021,Quartzo,Escola Pública,,Ametista,Quartzo,,,,Não,Sem limitações,2005,17,Fase 7 (3º EM),-2,7,3.0,reconstruido_2022,False,,False,5,,False
RA-45,2022,5,5,5,0,7.591,7.9,8.9,5.6,6.176,6.8,7.417,10.0,6.3,5.2,8.8,15.0,2007,Menina,2019,Ametista,Rede Decisão,Ametista,Topázio,Ametista,,,,Não,Requer avaliação,2007,15,Fase 5 (1º EM),0,5,6.8,reconstruido_2022,False,,False,5,,False
RA-46,2022,5,5,7,-2,6.048,8.8,8.4,6.3,5.214,2.1,7.083,5.0,2.8,2.8,0.7,17.0,2005,Menina,2022,Ágata,Escola Pública,,,Ágata,,,,Não,Sem limitações,2005,17,Fase 7 (3º EM),-2,7,2.1,reconstruido_2022,False,,False,5,,False
RA-47,2022,5,5,7,-2,5.677,7.9,6.3,7.5,5.486,2.1,7.042,5.0,2.5,2.2,1.5,17.0,2005,Menina,2022,Quartzo,Escola Pública,,,Quartzo,,,,Não,Sem limitações,2005,17,Fase 7 (3º EM),-2,7,2.1,reconstruido_2022,False,,False,5,,False
RA-48,2022,5,5,5,0,8.006,6.7,8.4,7.5,5.86,8.1,8.5,10.0,6.7,8.0,9.5,15.0,2007,Menina,2017,Ametista,Rede Decisão,Ametista,Ametista,Ametista,,,,Sim,Sem limitações,2007,15,Fase 5 (1º EM),0,5,8.1,reconstruido_2022,False,,False,5,,False
RA-49,2022,5,5,7,-2,6.304,7.5,7.4,7.5,6.156,4.0,7.042,5.0,1.5,4.2,6.2,17.0,2005,Menina,2022,Ágata,Escola Pública,,,Ágata,,,,Não,Sem limitações,2005,17,Fase 7 (3º EM),-2,7,3.9,reconstruido_2022,False,,False,5,,False
RA-50,2022,5,5,8,-3,7.138,7.5,8.4,7.5,6.396,7.8,7.542,2.5,6.5,7.3,9.7,18.0,2004,Menina,2022,Ametista,Escola Pública,,,Ametista,,,,Não,Sem limitações,2004,18,Fase 8 (Universitários),-3,8,7.8,reconstruido_2022,False,,False,5,,False
RA-51,2022,5,5,7,-2,6.488,8.8,7.6,7.5,5.38,5.0,6.5,5.0,4.5,4.5,6.0,17.0,2005,Menina,2022,Ágata,Escola Pública,,,Ágata,,,,Não,Não atendido,2005,17,Fase 7 (3º EM),-2,7,5.0,reconstruido_2022,False,,False,5,,False
RA-52,2022,5,5,3,2,7.861,9.6,8.9,7.5,6.51,6.1,7.5,10.0,3.3,6.3,8.8,13.0,2009,Menino,2018,Ametista,Rede Decisão,Topázio,Ametista,Ametista,,,,Não,Não atendido,2009,13,Fase 3 (7º e 8º ano),2,3,6.2,reconstruido_2022,False,,False,5,,False
RA-53,2022,5,5,7,-2,6.725,9.2,7.0,7.5,4.634,7.0,6.458,5.0,6.0,8.0,,17.0,2005,Menino,2022,Ágata,Escola Pública,,,Ágata,,,,Não,Não atendido,2005,17,Fase 7 (3º EM),-2,7,7.0,reconstruido_2022,False,,False,5,,False
RA-54,2022,5,5,6,-1,6.058,7.9,6.9,7.5,4.53,4.8,6.125,5.0,3.0,6.5,,16.0,2006,Menina,2022,Ágata,Escola Pública,,,Ágata,,,,Não,Não atendido,2006,16,Fase 6 (2º EM),-1,6,4.8,reconstruido_2022,False,,False,5,,False
RA-55,2022,5,5,6,-1,6.576,7.1,7.6,5.6,4.86,7.5,6.5,5.0,6.7,7.8,7.9,16.0,2006,Menina,2017,Ágata,Escola Pública,Ametista,Ametista,Ágata,,,,Não,Requer avaliação,2006,16,Fase 6 (2º EM),-1,6,7.5,reconstruido_2022,False,,False,5,,False
